project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Thế Kỷ 21,Chung cư Thế Kỷ 21,,"326/1 Ung Văn Khiêm, phường 25, quận Bình Thạnh, Tp.HCM.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 25,,,"Chung Cư Thế Kỷ 21, Bán Chung Cư Chung Cư Thế Kỷ 21, Bán Căn Hộ Chung Cư Tại Chung Cư Thế Kỷ 21, Căn Hộ Chung Cư Thế Kỷ 21",1.0,,,,The Ky 21
Thế Hệ Mới,Chung cư Thế Hệ Mới,,"17 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Cô Giang,,,,,,,,The He Moi
Thắng Lợi Riverside Market,Thắng Lợi Riverside Market,,"Đường Nguyễn Trãi, Xã Long Trạch, Cần Đước, Long An.",T. Long An,H. Cần Đước,X. Long Trạch,,,,,,,,Thang Loi Riverside Market
Thảo Điền Pearl,Thảo Điền Pearl,Chung cư Thảo Điền Pearl,"12 Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thảo Điền,10.80136635,106.7333361,"Bán Chung Cư Thảo Điền Pearl, Bán Chung Cư Quốc Hương, Căn Hộ Chung Cư Thảo Điền Pearl, Bán Căn Hộ Chung Cư Tại Thảo Điền Pearl, Thảo Điền Pearl",0.9874659401,,,,Thao Dien Pearl
Thảo Điền Green,Thảo Điền Green,Chung cư Thảo Điền Green,"192 Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thảo Điền,10.81712839,106.7314418,"Thảo Điền Green, Stella Residence, Thảo Điền Green Towers·, Bán Căn Hộ Chung Cư Tại Thảo Điền Green Towers",1.0,,,,Thao Dien Green
Thạnh Tân,Căn hộ Thạnh Tân,,"Đường ĐT 743B, phường Tân Đông Hiệp, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Tân Đông Hiệp,,,,,,,,Thanh Tan
Thăng Long Residence,Thăng Long Residence,,"Đường Quốc Lộ 13, Xã Trừ Văn Thố, Bàu Bàng, Bình Dương.",T. Bình Dương,H. Bàu Bàng,X. Trừ Văn Thố,,,,,,,,Thang Long Residence
Thăng Long Number One,Thăng Long Number One,Thăng Long Number One,"Số 1 Đại lộ Thăng Long, phường Trung Hòa, Cầu Giấy và phường Mễ Trì, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,21.003215,105.793191,Thăng Long Number One,0.6541200407,,,,Thang Long Number One
Thăng Long Home Hưng Phú,Thăng Long Home Hưng Phú,,"Đường Tô Ngọc Vân, phường Tam Phú, quận Thủ Đức, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Tam Phú,,,Thăng Long Home Hưng Phú,0.58,,,,Thang Long Home Hung Phu
Thăng Long Garden,Thăng Long Garden,Thăng Long Garden,"250 Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Minh Khai,20.99415,105.85715,"Thăng Long Garden, Căn Hộ Chung Cư Thăng Long Garden, chung cư 250 Minh Khai",0.656167979,,,,Thang Long Garden
Thăng Long Central City,Thăng Long Central City,,"Đường Hương Lộ 610, Thị trấn Lai Uyên, Bàu Bàng, Bình Dương.",T. Bình Dương,H. Bàu Bàng,TT. Lai Uyên,,,,,,,,Thang Long Central City
Thăng Long Capital,Thăng Long Capital,Thăng Long Capital Premium,"Khu đô thị mới Nam An Khánh, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. An Khánh,21.009301,105.721199,"Căn Hộ Chung Cư Thăng Long Capital, Thăng Long Capital, Bán Căn Hộ Chung Cư Tại Thăng Long Capital, Bán Chung Cư Đại Lộ Thăng Long",0.9952185792,,,,Thang Long Capital
Thông Tấn Xuân Phương,Chung cư Thông Tấn Xuân Phương,,"Đường Trần Hữu Dực, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Xuân Phương,,,Chung Cư Thông Tấn Xuân Phương,0.7333333333,,,,Thong Tan Xuan Phuong
Tháp Vạn Phúc 36T,Tháp Vạn Phúc 36T,,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Vạn Phúc,,,,,,,,Thap Van Phuc 36T
Tháp Doanh Nhân Tower,Tháp doanh nhân Tower,Boss Tower,"Số 1 Đường Thanh Bình, Phường Yết Kiêu, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Yết Kiêu,,,Tháp Doanh Nhân Tower,0.7226277372,,,,Thap Doanh Nhan Tower
Thái Sơn Apartment,Thái Sơn Apartment,,"số 20 Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,P. 12,,,"Bán Căn Hộ Chung Cư Tại Thái An Apartment, Thái An Apartment",1.0,,,,Thai Son Apartment
Thái Nguyên Tower,Thái Nguyên Tower,,"Số 1 đường Nha Trang, Phường Trưng Vương, Thái Nguyên, Thái Nguyên.",T. Thái Nguyên,TP. Thái Nguyên,P. Trưng Vương,,,,,,,,Thai Nguyen Tower
Thái Dương Luxury,Thái Dương Luxury,,"Đường 6, Phường Long Trường, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Long Trường,,,,,,,,Thai Duong Luxury
Thái Dương 2,Thái Dương 2,,"Xã Điện Ngọc, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Ngọc,,,,,,,,Thai Duong 2
Thái Bình Dragon City,Thái Bình Dragon City,,"Phố Kỳ Đồng, Xã Phú Xuân, Thái Bình, Thái Bình.",T. Thái Bình,TP. Thái Bình,X. Phú Xuân,,,,,,,,Thai Binh Dragon City
Thái An Apartment,Thái An Apartment,,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Đông Hưng Thuận,,,An Phú Đông Residences,1.0,,,,Thai An Apartment
Thành Đô River Park,Thành Đô River Park,,"Xã Hòa Long, Bà Rịa, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Bà Rịa,X. Hòa Long,,,,,,,,Thanh Do River Park
Thành Phố Mới Bình Dương,Thành Phố Mới Bình Dương,,"Đường Lê Lợi, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Phú Mỹ,,,,,,,,Thanh Pho Moi Binh Duong
Thành Phố Giao Lưu,Thành phố Giao Lưu,,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 1,,,Thành Phố Giao Lưu,0.4476885645,,,,Thanh Pho Giao Luu
Thành Phố Cà Phê – The Coffee City,Thành Phố Cà Phê – The Coffee City,,"Đường Nguyễn Đình Chiểu, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk.",T. Đắk Lắk,TP. Buôn Ma Thuột,UNK,,,,,,,,Thanh Pho Ca Phe - The Coffee City
Thành Phố Cà Phê,Thành Phố Cà Phê,,"Đường Nguyễn Đình Chiểu, xã Tân Lợi, Buôn Ma Thuột, Đắk Lắk.",T. Đắk Lắk,TP. Buôn Ma Thuột,P. Tân Lợi,,,,,,,,Thanh Pho Ca Phe
Thành Nam Dragon,Thành Nam Dragon,,"Đường Quốc Lộ 22, Củ Chi, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Củ Chi,TT. Củ Chi,,,,,,,,Thanh Nam Dragon
Thành Công Tower Thái Bình,Thành Công Tower Thái Bình,,"Đường Lý Thái Tổ, Phường Quang Trung, Thái Bình, Thái Bình.",T. Thái Bình,TP. Thái Bình,P. Quang Trung,,,,,,,,Thanh Cong Tower Thai Binh
Thành Công Tower 57 Láng Hạ,Thành Công Tower 57 Láng Hạ,,"57 Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Thành Công,,,Thành Công Tower 57 Láng Hạ,1.0,,,,Thanh Cong Tower 57 Lang Ha
Thành Công Tower 2,Thành Công Tower 2,,"Đường Trường Chinh, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,UNK,,,,,,,,Thanh Cong Tower 2
Thành Công Tower 1,Thành Công Tower 1,,"Đường Tây Thạnh, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,UNK,,,,,,,,Thanh Cong Tower 1
Thuận Kiều Plaza,Thuận Kiều Plaza,,"190 Hồng Bàng, Phường 14, Quận 5, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 05,P. 14,,,Thuận Kiều Plaza,1.0,,,,Thuan Kieu Plaza
Thuần Nghệ Green City,Thuần Nghệ Green City,,"Phường Quang Trung, Sơn Tây, Hà Nội.",TP. Hà Nội,TX. Sơn Tây,P. Quang Trung,,,,,,,,Thuan Nghe Green City
Thung Lũng Xanh,Thung Lũng Xanh,,"Xã An Phước, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. An Phước,,,,,,,,Thung Lung Xanh
Tht New City,THT New City,,"Đường Quốc lộ 32, Xã Kim Chung, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. Kim Chung,,,"Tht New City, Bright City, Căn Hộ Chung Cư Az Thăng Long Towers, Bán Căn Hộ Chung Cư Tại Tht New City",0.9884678748,,,,Tht New City
Thong Tan Xa,Chung cư Thông tấn xã Việt Nam,Chung cư Thông Tấn Xã,"Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Đại Kim,20.975133,105.820085,Căn Hộ Thông Tấn Xã,1.0,,,,Thong Tan Xa
Thiên Quý,Chung cư Thiên Quý,,"Phường Thới An, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Thới An,,,,,,,,Thien Quy
Thiên Phúc Garden,Thiên Phúc Garden,,"Đường Tỉnh lộ 8, Xã Tân An Hội, Củ Chi, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Củ Chi,X. Tân An Hội,,,,,,,,Thien Phuc Garden
Thiên Phú Intresco Highland,Thiên Phú Intresco HighLand,,"Phường Nghĩa Thành, Gia Nghĩa, Đắk Nông.",T. Đắk Nông,TP. Gia Nghĩa,P. Nghĩa Thành,,,,,,,,Thien Phu Intresco Highland
Thiên Nam Apartment,Thiên Nam Apartment,,"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 10,P. 14,,,"Căn Hộ Chung Cư Thiên Nam, Thiên Nam Apartment",1.0,,,,Thien Nam Apartment
Thiên Lộc Tower,Thiên Lộc Tower,,"1/7A  Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 14,,,,,,,,Thien Loc Tower
Thien Park,Thien Park,,"Phường Hòa Hiệp Bắc, Liên Chiểu, Đà Nẵng.",TP. Đà Nẵng,Q. Liên Chiểu,P. Hòa Hiệp Bắc,,,,,,,,Thien Park
The Zen Residence,The Zen Residence,The Zen Residence,"Km 4,4 Pháp Vân, phường Yên Sở, quận Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Yên Sở,20.971889,105.878944,"Bán Căn Hộ Chung Cư Tại The Zen Residence, The Zen Residence",1.0,,,,The Zen Residence
The Zei,The Zei Mỹ Đình,The Zei,"Số 8 đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 2,21.035201,105.769972,,,,,,The Zei
The Wings Residence,The Wings Residence,,"Đường Pháp Vân, Phường Yên Sở, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Yên Sở,,,,,,,,The Wings Residence
The Western Capital,The Western Capital,,"Số 116 Lý Chiêu Hoàng, phường 10, quận 6, Tp.HCM.",TP. Hồ Chí Minh,Q. 06,P. 10,,,"The Western Capital, Bán Chung Cư The Western Capital, Căn Hộ Chung Cư The Western Capital, Bán Chung Cư Lý Chiêu Hoàng, Bán Căn Hộ Chung Cư Tại The Western Capital",1.0,,,,The Western Capital
The Viva City,The Viva City,,"Xã Giang Điền, Trảng Bom, Đồng Nai.",T. Đồng Nai,H. Trảng Bom,X. Giang Điền,,,,,,,,The Viva City
The Vista An Phú,The Vista An Phú,,"Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Bán Chung Cư The Vista, Căn Hộ Chung Cư The Vista, Bán Căn Hộ Chung Cư Tại The Vista An Phú, Dự Án The Vista, The Vista An Phú",1.0,,,,The Vista An Phu
The Vista,The Vista,,"Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,UNK,,,Căn Hộ Chung Cư The Vista,1.0,,,,The Vista
The Vesta,The Vesta,The Vesta,"Phường Phú Lãm, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phú Lãm,20.945911,105.7556,"Tin Miễn Phí, The Vesta, Bán Căn Hộ Chung Cư Tại The Vesta, Nhà Ở Xã Hội The Vesta",0.9885583524,,,,The Vesta
The Vertex Private Residences,The Vertex Private Residences,,"Đường Lê Lợi, Phường Bến Nghé, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Bến Nghé,,,,,,,,The Vertex Private Residences
The Useful Apartment,The Useful Apartment,Chung cư The Useful Apartment,"19/19 Lạc Long Quân, Phường 9, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,P. 09,10.77501671,106.6492009,"The Era Lạc Long Quân, Căn Hộ Chung Cư The Useful Apartment, The Useful Apartment",1.0,,,,The Useful Apartment
The Tresor,The Tresor,,"39 Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 04,P. 01,,,"The Tresor, Căn Hộ Chung Cư The Tresor, Bán Chung Cư The Tresor, Khu Phức Hợp The Tresor, Bán Căn Hộ Chung Cư Tại The Tresor",0.9947033898,,,,The Tresor
The Terra,The Terra Hào Nam,The Terra Hào Nam,"83 Hào Nam, P. Ô Chợ Dừa, Q. Đống Đa, TP. Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Ô Chợ Dừa,21.02439007,105.82614,"The Terra Hào Nam / Sapphire Tower 83 Hào Nam, The Terra Hào Nam",1.0,,,,The Terra
The Terra An Hưng,The Terra An Hưng,The Terra An Hưng,"The Terra An Hưng Phường Dương Nội, Quận Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,UNK,20.973292,105.756899,"An Hưng, Dự Án The Terra An Hưng, Khu Phức Hợp The Terra An Hưng, Bán Căn Hộ Chung Cư Tại The Terra An Hưng, The Terra An Hưng",0.9911047346,,,,The Terra An Hung
The Sunrise Bay,The Sunrise Bay,,"Phường Thuận Phước, Hải Châu, Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,P. Thuận Phước,,,,,,,,The Sunrise Bay
The Sun City Thuận An,The Sun City Thuận An,,"Đường ĐT 743, Phường An Phú, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. An Phú,,,,,,,,The Sun City Thuan An
The Sun City Riverside Đà Nẵng,The Sun City Riverside Đà Nẵng,,"Đường Trần Hưng Đạo, Phường An Hải Tây, Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,P. An Hải Tây,,,,,,,,The Sun City Riverside Da Nang
The Sun City Phước Kiển,The Sun City Phước Kiển,,"Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Phước Kiển,,,,,,,,The Sun City Phuoc Kien
The Sun City Minh Sơn,The Sun City Minh Sơn,,"Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Phú Hữu,,,,,,,,The Sun City Minh Son
The Sun City Ba Tơ,The Sun City Ba Tơ,,"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 07,,,,,,,,The Sun City Ba To
The Sun Avenue,The Sun Avenue,Chung cư The Sun Avenue,"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,10.78538971,106.7480898,"Căn Hộ Chung Cư The Sun Avenue, Bán Chung Cư The Sun Avenue, Bán Căn Hộ Chung Cư Tại The Sun Avenue, The Sun Avenue",0.9915212783,,,,The Sun Avenue
The Sun,The Sun Mễ Trì,The Sun,"Lô HH1, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mễ Trì,21.015402,105.780311,,,,,,The Sun
The Summit Building Đà Nẵng,The Summit Building Đà Nẵng,,"350 Đường Nguyễn Văn Linh, Phường Thạc Gián, Thanh Khê, Đà Nẵng.",TP. Đà Nẵng,Q. Thanh Khê,P. Thạc Gián,,,,,,,,The Summit Building Da Nang
The Summit,The Summit,,"Đường Ngô Quyền, Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,UNK,,,,,,,,The Summit
The Star Village,The Star Village,,"Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Nhơn Đức,,,,,,,,The Star Village
The Splendor,The Splendor,Chung cư The Splendor,"Nguyễn Văn Dung, Phường 6, Quận Gò Vấp, TPHCM.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 06,10.850212,106.680888,The Splendor,0.635620915,,,,The Splendor
The Sparks,The Sparks,The Sparks Lê Văn Lương,"Khu đô thị Dương Nội, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,20.96262,105.7465,"Chung Cư The Sparks, Căn Hộ Chung Cư The Sparks Dương Nội, Park View Residence, The Sparks, Kđtm Dương Nội",0.9901129944,,,,The Sparks
The Sol City,The Sol City,,"Đường Vĩnh Phú 41, Xã Long Thượng, Huyện Cần Giuộc, Long An.",T. Long An,H. Cần Giuộc,X. Long Thượng,,,,,,,,The Sol City
The Seasons Lái Thiêu,The Seasons Lái Thiêu,,"Phường Lái Thiêu, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Lái Thiêu,,,,,,,,The Seasons Lai Thieu
The Sapphire Residence,The Sapphire Residence,The Sapphire Residence,"1 Bến Đoan, Phường Hồng Gai, TP. Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Hồng Gai,20.95156,107.071257,,,,,,The Sapphire Residence
The Sang Residence,The Sang Residence,The Sang Residence Đà Nẵng,"Đường Phạm Kiệt, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Khuê Mỹ,16.0374,108.248339,The Sang Residence,1.0,,,,The Sang Residence
The Saigon Riverfront,The Saigon RiverFront,,"Đường Nguyễn Tất Thành, Phường 8,  Quận 4, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 04,P. 08,,,,,,,,The Saigon Riverfront
The Ruby Hạ Long,The Ruby Hạ Long,,"Đường Trần Thái Tông, Phường Cao Xanh, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Cao Xanh,,,The Ruby Hạ Long,1.0,,,,The Ruby Ha Long
The Royal Đà Nẵng Boutique Hotel & Condo,The Royal Đà Nẵng Boutique Hotel & Condo,,"Phường Bình Thuận, Hải Châu, Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,P. Bình Thuận,,,,,,,,The Royal Da Nang Boutique Hotel & Condo
The River Thủ Thiêm,The River Thủ Thiêm,,"Đường Nguyễn Cơ Thạch, Phường An Khánh,  Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Khánh,,,"The River Thủ Thiêm, Dự Án The River Thủ Thiêm, Bán Chung Cư Đại Lộ Vòng Cung, Bán Căn Hộ Chung Cư Tại The River Thủ Thiêm, The River Thu Thiem",0.9956647399,,,,The River Thu Thiem
The Rivana,The Rivana,Chung cư The Rivana,"Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Vĩnh Phú,10.87792425,106.6985082,,,,,,The Rivana
The Queen Villas,The Queen Villas,,"Xã Yên Bài, Ba Vì, Hà Nội.",TP. Hà Nội,H. Ba Vì,X. Yên Bài,,,,,,,,The Queen Villas
The Prince Residence,The Prince Residence,,"17-19-21 Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Phú Nhuận,P. 01,,,"The Prince Residence, Bán Chung Cư The Prince Residence, Căn Hộ Chung Cư The Prince Residence, Bán Căn Hộ Chung Cư Tại The Prince Residence",0.9988512349,,,,The Prince Residence
The Pride,The Pride,The Pride,"Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. La Khê,20.972046,105.75855,"Hp Landmark Tower, Căn Hộ Chung Cư Hp Landmark Tower The Pride, Khu Đô Thị Mới Trung Văn, The Pride",0.9867754643,,,,The Pride
The Penta,Căn hộ The Penta,,"201 Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 06,,,,,,,,The Penta
The Pegasus Plaza,The Pegasus Plaza,,"Đường Võ Thị Sáu, Phường Quyết Thắng, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Quyết Thắng,,,,,,,,The Pegasus Plaza
The Pegasuite,The Pegasuite,Chung cư The Pega Suite 1,"Phố Tạ Quang Bửu, Phường 6, Quận 8, TP.HCM.",TP. Hồ Chí Minh,Q. 08,P. 06,10.73418944,106.6531672,The Pegasuite,0.6241357637,,,,The Pegasuite
The Pegasuite,The PegaSuite 2,Chung cư The Pega Suite 2,"Phố Tạ Quang Bửu, phường 16, quận 8, Tp.HCM.",TP. Hồ Chí Minh,Q. 08,P. 16,10.73023979,106.646678,The Pegasuite,0.6241357637,,,,The Pegasuite
The Pearl Hoi An,The Pearl Hoi An,,"Phường Cẩm An, Hội An, Quảng Nam.",T. Quảng Nam,TP. Hội An,P. Cẩm An,,,,,,,,The Pearl Hoi An
The Peak Garden,The Peak Garden,Chung cư The Peak Garden,"15B Nguyễn Lương Bằng nối dài, Phường Phú Mỹ,  Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Phú Mỹ,10.70581699,106.7349881,,,,,,The Peak Garden
The Peak,The Peak,,"Lô M8, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Phú,,,Bán Chung Cư Nguyễn Hữu Thọ,1.0,,,,The Peak
The Parkland,The ParkLand,,"Đường Nguyễn Thị Búp, phường Hiệp Thành, quận 12, Tp.HCM.",TP. Hồ Chí Minh,Q. 12,P. Hiệp Thành,,,The Parkland,0.55,,,,The Parkland
The Park Residence,The Park Residence,Chung cư The Park Residence,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Phước Kiển,10.71221958,106.7073066,"The Park Residence, Bán Chung Cư The Park Residence, Bán Căn Hộ Chung Cư Tại The Park Residence, Bán Chung Cư Nguyễn Hữu Thọ, Căn Hộ Chung Cư The Park Residence Phú Hoàng Anh",0.9978280543,,,,The Park Residence
The Park Home,The Park Home,The Park Home,"Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Dịch Vọng,21.030833,105.788766,"The Park Home, Bán Căn Hộ Chung Cư Tại The Park Home, Căn Hộ Chung Cư C22 Bộ Công An, Bán Căn Hộ Chung Cư Tại Chung Cư C22 Bộ Công An, C22 Bộ Công An",0.9933899906,,,,The Park Home
The Park Avenue,The Park Avenue,,"586 đường 3/2, Phường 15, Quận 11, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 11,P. 15,,,The Park Avenue,1.0,,,,The Park Avenue
The Panorama Đà Lạt,The Panorama Đà Lạt,,"37 Đường Trần Hưng Đạo, Phường 10, Đà Lạt, Lâm Đồng.",T. Lâm Đồng,TP. Đà Lạt,P. 10,,,,,,,,The Panorama Da Lat
The Panorama,The Panorama,The Panorama,"Đường Tôn Dật Tiên, Phường Tân Phong, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Tân Phong,10.721989,106.713455,The Panorama,0.4909354605,,,,The Panorama
The Palace Residence,The Palace Residence,,"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,The Palace Residence,1.0,,,,The Palace Residence
The Opera Residence,The Opera Residence,,"Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thủ Thiêm,,,"The Opera Residence, Căn Hộ Chung Cư The Opera Residences",1.0,,,,The Opera Residence
The One Sài Gòn,The One Sài Gòn,,"Số 172-174 Ký Con, quận 1, Tp.HCM.",TP. Hồ Chí Minh,Q. 01,UNK,,,"Bán Căn Hộ Chung Cư Tại The One Sài Gòn, The One Sài Gòn, Khu Phức Hợp The One Ho Chi Minh, Căn Hộ Chung Cư Bến Thành Times Square Towers",1.0,,,,The One Sai Gon
The Ocean Suites,The Ocean Suites,,"Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,The Ocean Suites
The Ocean Apartment,The Ocean Apartment,,"Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,The Ocean Apartment
The Nine,Chung cư The Nine,The Nine,"Số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Mai Dịch,21.040859,105.780067,Chung Cư The Nine,0.4427480916,,,,The Nine
The Nexus,The Nexus,,"Số 3A-3B Tôn Đức Thắng, Phường Bến Nghé,  Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Bến Nghé,,,,,,,,The Nexus
